id,url,domain,tld,domain_type,text_length,source_file,chinese_ratio,has_chinese
CC-MAIN-20240612140424-20240612170424-00000.warc_3,http://0.pembrokeconcrete.com/cert/,0.pembrokeconcrete.com,com,商业,1683,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.6090314913844326,True
CC-MAIN-20240612140424-20240612170424-00000.warc_6,http://04hl.esxmovies.com/checking-accounts-refresh/,04hl.esxmovies.com,com,商业,3900,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.047435897435897434,True
CC-MAIN-20240612140424-20240612170424-00000.warc_9,http://061ss.com/play/index69836-0-0.html,061ss.com,com,商业,738,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.5460704607046071,True
CC-MAIN-20240612140424-20240612170424-00000.warc_12,http://074452.com/vod/detail/id/957645.html,074452.com,com,商业,4528,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.7654593639575972,True
CC-MAIN-20240612140424-20240612170424-00000.warc_15,http://0755cxjz.com/kjzx.asp,0755cxjz.com,com,商业,947,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.010559662090813094,True
CC-MAIN-20240612140424-20240612170424-00000.warc_18,http://0758live.com/show.asp?ArticleID=1110,0758live.com,com,商业,534,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.031835205992509365,True
CC-MAIN-20240612140424-20240612170424-00000.warc_21,http://0803.h694.com/index.phtml?PUT=a_show&AID=209610&FID=1420724&R2=&CHANNEL=,0803.h694.com,com,商业,1515,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0019801980198019802,False
CC-MAIN-20240612140424-20240612170424-00000.warc_24,http://1024clsq.com/28655992.html,1024clsq.com,com,商业,817,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0024479804161566705,False
CC-MAIN-20240612140424-20240612170424-00000.warc_30,http://10kh.show/00045-season-5-opener-the-10000-heroes-plan-for-2023-and-my-crazy-idea-for-a-conference-youre-invited,10kh.show,show,其他,4066,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_33,http://10kh.show/website/2022/04,10kh.show,show,其他,3126,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_36,http://1110111.com/%D8%A7%D9%84%D8%A5%D9%86%D8%A7%D8%A1-%D8%A7%D9%84%D9%85%D8%B4%D8%B1%D9%88%D8%AE/,1110111.com,com,商业,3007,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_39,http://11eo.top/html/01e899910.html,11eo.top,top,其他,4612,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.7513009540329575,True
CC-MAIN-20240612140424-20240612170424-00000.warc_42,http://122colmorerow.co.uk/,122colmorerow.co.uk,uk,其他,575,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_45,http://123495479.indirettamente.it/2500-net-maa%C5%9F%C4%B1n-br%C3%BCt%C3%BC-nedir.html/,123495479.indirettamente.it,it,其他,113,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_48,http://123495479.indirettamente.it/kurdele-%C3%A7i%C3%A7e%C4%9Fi-sulama.html/,123495479.indirettamente.it,it,其他,113,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_51,http://13.231.127.131/activity/kwn/minaki_n/20170815/,13.231.127.131,131,其他,5227,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.14807729098909508,True
CC-MAIN-20240612140424-20240612170424-00000.warc_54,http://1307state.com/index.php/vod/detail/id/22692.html,1307state.com,com,商业,13849,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0023828435266084196,True
CC-MAIN-20240612140424-20240612170424-00000.warc_57,http://173liveshow.adult358.com/manual.htm,173liveshow.adult358.com,com,商业,932,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.6115879828326181,True
CC-MAIN-20240612140424-20240612170424-00000.warc_60,http://176486.ey73g.com/index.phtml?PUT=a_show&AID=108611&FID=176486&R2=&CHANNEL=,176486.ey73g.com,com,商业,5471,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.003290074940595869,True
CC-MAIN-20240612140424-20240612170424-00000.warc_63,http://17caopan.com/31834898.html,17caopan.com,com,商业,855,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0023391812865497076,False
CC-MAIN-20240612140424-20240612170424-00000.warc_66,http://17huodong.com/notice/10.html,17huodong.com,com,商业,1204,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.7425249169435216,True
CC-MAIN-20240612140424-20240612170424-00000.warc_69,http://187211.webhosting60.1blu.de/melitta/?attachment_id=140,187211.webhosting60.1blu.de,de,其他,365,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_72,http://188me.com/?m=pic_detail*8952*27,188me.com,com,商业,5772,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_75,http://18room.chat-528.com/index.phtml?PUT=a_show&AID=179255&FID=1513046,18room.chat-528.com,com,商业,1525,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0019672131147540984,False
CC-MAIN-20240612140424-20240612170424-00000.warc_78,http://1stshieldsecurity.co.uk/why-hiring-security-professionals-is-essential-for-a-successful-event/,1stshieldsecurity.co.uk,uk,其他,5375,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_81,http://2012kiss.com/index.phtml?PUT=a_show&AID=164454&FID=1381879&R2=&CHANNEL=,2012kiss.com,com,商业,782,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0038363171355498722,False
CC-MAIN-20240612140424-20240612170424-00000.warc_84,http://2016.caaconference.org/author/admin/,2016.caaconference.org,org,组织,1002,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_87,http://2021.alekino.com/aktualnosci/,2021.alekino.com,com,商业,5430,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_90,http://2021.alekino.com/en/report/in-a-young-critics-opinion-14-summer-rebels/,2021.alekino.com,com,商业,3860,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_93,http://2127671.syk003.com/?PUT=a_show&AID=186279&FID=2127671&R2=&CHANNEL=,2127671.syk003.com,com,商业,6170,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.006320907617504052,True
CC-MAIN-20240612140424-20240612170424-00000.warc_96,http://24dim-athin.att.sch.gr/index.php/drastiriotites/drastirioties-proigoymena-eti/sxoliko-etos-2017-2018/sxoliko-etos-2017-2018-b-taxh,24dim-athin.att.sch.gr,gr,其他,2332,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.00986277873070326,True
CC-MAIN-20240612140424-20240612170424-00000.warc_99,http://261my.com/82833193.html,261my.com,com,商业,809,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.002472187886279357,False
CC-MAIN-20240612140424-20240612170424-00000.warc_102,http://26uuus.com/85674439.html,26uuus.com,com,商业,718,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.002785515320334262,False
CC-MAIN-20240612140424-20240612170424-00000.warc_105,http://28novembre.net/inter?page=105,28novembre.net,net,网络,4201,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_108,http://2baksa.ws/go/go.php?url=https://massage-stones.com,2baksa.ws,ws,其他,762,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_111,http://2q.changchunfangchan.com/institute,2q.changchunfangchan.com,com,商业,8825,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.01631728045325779,True
CC-MAIN-20240612140424-20240612170424-00000.warc_114,http://2x9cc.com/557798.html,2x9cc.com,com,商业,824,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0024271844660194173,False
CC-MAIN-20240612140424-20240612170424-00000.warc_117,http://305.su/portfolio-item/zhiloe-zdanie-po-ul-prazhskaya-5-sankt-pet/,305.su,su,其他,1834,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_120,http://31gim.xyz/8762327.html,31gim.xyz,xyz,其他,835,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0023952095808383233,False
CC-MAIN-20240612140424-20240612170424-00000.warc_126,http://3ae8.com/32013523.html,3ae8.com,com,商业,788,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0025380710659898475,False
CC-MAIN-20240612140424-20240612170424-00000.warc_129,http://3g.cqxiehe.com/keshi/zhongyi/,3g.cqxiehe.com,com,商业,235,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.6382978723404256,True
CC-MAIN-20240612140424-20240612170424-00000.warc_132,http://3l0er.com/live/zuqiu/50241.html,3l0er.com,com,商业,853,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.6541617819460727,True
CC-MAIN-20240612140424-20240612170424-00000.warc_135,http://3n4p.com/33598243.html,3n4p.com,com,商业,795,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0025157232704402514,False
CC-MAIN-20240612140424-20240612170424-00000.warc_138,http://3wap.cc/65217526.html,3wap.cc,cc,其他,743,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0026917900403768506,False
CC-MAIN-20240612140424-20240612170424-00000.warc_141,http://41248.room.oishow.com/index.phtml?PUT=gift_send&AID=225518&FID=41248,41248.room.oishow.com,com,商业,1083,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.002770083102493075,False
CC-MAIN-20240612140424-20240612170424-00000.warc_144,http://470116.puy040.com/?PUT=a_show&AID=225437&FID=470116&R2=&CHANNEL=,470116.puy040.com,com,商业,3168,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.003787878787878788,True
CC-MAIN-20240612140424-20240612170424-00000.warc_147,http://480303897.golpoporuya.in/%E5%81%A5%E4%BF%9D-%E5%8A%A0-%E4%BF%9D-%E7%9C%B7%E5%B1%AC.html/,480303897.golpoporuya.in,in,其他,81,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_150,http://483044.213tk.vip/topic/442.html,483044.213tk.vip,vip,其他,4824,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.7124792703150912,True
CC-MAIN-20240612140424-20240612170424-00000.warc_153,"http://48g.pl/?413,kalendarz-ksiazkowy-a4-tygodniowy-grafite-kolor-czarny",48g.pl,pl,其他,3795,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_156,http://4hu13.tv/78667981.html,4hu13.tv,tv,其他,787,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0025412960609911056,False
CC-MAIN-20240612140424-20240612170424-00000.warc_159,http://4o.agoogle.net/Journalism/1609.html,4o.agoogle.net,net,网络,20695,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.2084078279777724,True
CC-MAIN-20240612140424-20240612170424-00000.warc_162,http://51kshen.com/news/3524,51kshen.com,com,商业,2674,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.525056095736724,True
CC-MAIN-20240612140424-20240612170424-00000.warc_168,http://520844www.com/83941816.html,520844www.com,com,商业,654,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0030581039755351682,False
CC-MAIN-20240612140424-20240612170424-00000.warc_171,http://520844www.com/93096379.html,520844www.com,com,商业,705,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0028368794326241137,False
CC-MAIN-20240612140424-20240612170424-00000.warc_174,http://520925.co/28483388.html,520925.co,co,其他,719,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0027816411682892906,False
CC-MAIN-20240612140424-20240612170424-00000.warc_177,http://527be2a20e174b854a67d9468e0b7338-463831144.us-west-2.elb.amazonaws.com/product-category/whitetea/?product_count=16&product_view=grid&product_orderby=price&product_order=desc,527be2a20e174b854a67d9468e0b7338-463831144.us-west-2.elb.amazonaws.com,com,商业,2759,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_180,http://52avavh.com/61372756.html,52avavh.com,com,商业,674,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.002967359050445104,False
CC-MAIN-20240612140424-20240612170424-00000.warc_183,http://57777by.com/39915326.html,57777by.com,com,商业,729,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0027434842249657062,False
CC-MAIN-20240612140424-20240612170424-00000.warc_186,http://5gavt.buzz/87054708.html,5gavt.buzz,buzz,其他,834,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.002398081534772182,False
CC-MAIN-20240612140424-20240612170424-00000.warc_189,http://5school.belhost.by/wordpress/2016/12/%D0%9F%D1%80%D0%B5%D1%81%D1%81-%D0%BA%D0%BE%D0%BD%D1%84%D0%B5%D1%80%D0%B5%D0%BD%D1%86%D0%B8%D1%8F/3-5/,5school.belhost.by,by,其他,3694,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_192,http://66313.cc/read.php?tid=16649&fpage=1&page=5,66313.cc,cc,其他,211,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_195,http://7ly.ru/tag/avstriya/,7ly.ru,ru,其他,5674,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_198,http://86.79.211.130.bc.googleusercontent.com/contest/mani-2023/votazioni/utente/59943,86.79.211.130.bc.googleusercontent.com,com,商业,2527,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_201,http://86.79.211.130.bc.googleusercontent.com/contest/riflessi-2022/votazioni/354261,86.79.211.130.bc.googleusercontent.com,com,商业,2118,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_204,http://911bar.ru/stalo-izvestno-chto-samsung-izmenila-v-obnovlennom-galaxy-fold/,911bar.ru,ru,其他,3763,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_207,http://914dy.com/94998053.html,914dy.com,com,商业,894,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0022371364653243847,False
CC-MAIN-20240612140424-20240612170424-00000.warc_210,http://91chaopron.com/81046917.html,91chaopron.com,com,商业,859,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.002328288707799767,False
CC-MAIN-20240612140424-20240612170424-00000.warc_213,http://925-www.trustlink.org/Review/American-Publisher-House-285579,925-www.trustlink.org,org,组织,1853,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_216,http://95.org/,95.org,org,组织,23,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_219,http://95x.charlesdarwinenglish.com/Design/497.html,95x.charlesdarwinenglish.com,com,商业,3731,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.2079871348164031,True
CC-MAIN-20240612140424-20240612170424-00000.warc_222,http://a-ceramic.kr/community/board02/?method=view&no=15275,a-ceramic.kr,kr,其他,9538,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_225,http://a-ceramic.kr/community/board02/?method=view&no=15356,a-ceramic.kr,kr,其他,9537,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_228,http://a-m-shagalov.ru/load/fonoteka/cerebrjanyj_vek/blok_aleksandr_aleksandrovich_chitaet_stikhotvorenie_o_doblestjakh_o_podvigakh_o_slave/2-1-0-11,a-m-shagalov.ru,ru,其他,5118,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_231,http://a406.dau862.com/,a406.dau862.com,com,商业,1107,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.4869015356820235,True
CC-MAIN-20240612140424-20240612170424-00000.warc_234,http://aapkiawaz.dk/2020/02/%DA%A9%D9%88%D8%A2%D8%B1%DA%88%DB%8C%D9%86%DB%8C%D9%B9%D8%B1-%D9%BE%DB%8C-%D9%B9%DB%8C-%D8%A2%D8%A6%DB%8C-%D9%81%D8%B1%D8%A7%D9%86%D8%B3-%D8%B4%DB%8C%D8%AE-%D9%86%D8%B9%D9%85%D8%AA-%D8%A7%D9%84%D9%84/,aapkiawaz.dk,dk,其他,1841,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_237,http://abbank.olaciti.com/chi-nhanh/son-la,abbank.olaciti.com,com,商业,1636,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_240,http://abbe.net.au/products/paper-drills-and-heavy-duty-punches/,abbe.net.au,au,网络,542,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_243,http://abergkampwonderland.co.uk/tag/group-winners/,abergkampwonderland.co.uk,uk,其他,4485,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_246,http://abhinavpmp.com/2015/10/28/finalized-book-contract-on-itil-foundation/,abhinavpmp.com,com,商业,5979,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
