id,url,domain,text_length,risk_level,risk_score,tld,domain_type
CC-MAIN-20240612140424-20240612170424-00000.warc_3,http://0.pembrokeconcrete.com/cert/,0.pembrokeconcrete.com,1683,安全,0,com,商业
CC-MAIN-20240612140424-20240612170424-00000.warc_6,http://04hl.esxmovies.com/checking-accounts-refresh/,04hl.esxmovies.com,3900,低风险,30,com,商业
CC-MAIN-20240612140424-20240612170424-00000.warc_9,http://061ss.com/play/index69836-0-0.html,061ss.com,738,安全,15,com,商业
CC-MAIN-20240612140424-20240612170424-00000.warc_12,http://074452.com/vod/detail/id/957645.html,074452.com,4528,安全,15,com,商业
CC-MAIN-20240612140424-20240612170424-00000.warc_15,http://0755cxjz.com/kjzx.asp,0755cxjz.com,947,安全,15,com,商业
CC-MAIN-20240612140424-20240612170424-00000.warc_18,http://0758live.com/show.asp?ArticleID=1110,0758live.com,534,安全,15,com,商业
CC-MAIN-20240612140424-20240612170424-00000.warc_21,http://0803.h694.com/index.phtml?PUT=a_show&AID=209610&FID=1420724&R2=&CHANNEL=,0803.h694.com,1515,安全,15,com,商业
CC-MAIN-20240612140424-20240612170424-00000.warc_24,http://1024clsq.com/28655992.html,1024clsq.com,817,安全,15,com,商业
CC-MAIN-20240612140424-20240612170424-00000.warc_30,http://10kh.show/00045-season-5-opener-the-10000-heroes-plan-for-2023-and-my-crazy-idea-for-a-conference-youre-invited,10kh.show,4066,安全,0,show,其他
CC-MAIN-20240612140424-20240612170424-00000.warc_33,http://10kh.show/website/2022/04,10kh.show,3126,安全,0,show,其他
CC-MAIN-20240612140424-20240612170424-00000.warc_36,http://1110111.com/%D8%A7%D9%84%D8%A5%D9%86%D8%A7%D8%A1-%D8%A7%D9%84%D9%85%D8%B4%D8%B1%D9%88%D8%AE/,1110111.com,3007,安全,15,com,商业
CC-MAIN-20240612140424-20240612170424-00000.warc_39,http://11eo.top/html/01e899910.html,11eo.top,4612,低风险,20,top,其他
CC-MAIN-20240612140424-20240612170424-00000.warc_42,http://122colmorerow.co.uk/,122colmorerow.co.uk,575,安全,0,uk,其他
CC-MAIN-20240612140424-20240612170424-00000.warc_45,http://123495479.indirettamente.it/2500-net-maa%C5%9F%C4%B1n-br%C3%BCt%C3%BC-nedir.html/,123495479.indirettamente.it,113,安全,15,it,其他
CC-MAIN-20240612140424-20240612170424-00000.warc_48,http://123495479.indirettamente.it/kurdele-%C3%A7i%C3%A7e%C4%9Fi-sulama.html/,123495479.indirettamente.it,113,安全,15,it,其他
CC-MAIN-20240612140424-20240612170424-00000.warc_51,http://13.231.127.131/activity/kwn/minaki_n/20170815/,13.231.127.131,5227,安全,15,131,其他
CC-MAIN-20240612140424-20240612170424-00000.warc_54,http://1307state.com/index.php/vod/detail/id/22692.html,1307state.com,13849,安全,15,com,商业
CC-MAIN-20240612140424-20240612170424-00000.warc_57,http://173liveshow.adult358.com/manual.htm,173liveshow.adult358.com,932,安全,0,com,商业
CC-MAIN-20240612140424-20240612170424-00000.warc_60,http://176486.ey73g.com/index.phtml?PUT=a_show&AID=108611&FID=176486&R2=&CHANNEL=,176486.ey73g.com,5471,安全,15,com,商业
CC-MAIN-20240612140424-20240612170424-00000.warc_63,http://17caopan.com/31834898.html,17caopan.com,855,安全,0,com,商业
CC-MAIN-20240612140424-20240612170424-00000.warc_66,http://17huodong.com/notice/10.html,17huodong.com,1204,安全,0,com,商业
CC-MAIN-20240612140424-20240612170424-00000.warc_69,http://187211.webhosting60.1blu.de/melitta/?attachment_id=140,187211.webhosting60.1blu.de,365,安全,15,de,其他
CC-MAIN-20240612140424-20240612170424-00000.warc_72,http://188me.com/?m=pic_detail*8952*27,188me.com,5772,安全,15,com,商业
CC-MAIN-20240612140424-20240612170424-00000.warc_75,http://18room.chat-528.com/index.phtml?PUT=a_show&AID=179255&FID=1513046,18room.chat-528.com,1525,安全,0,com,商业
CC-MAIN-20240612140424-20240612170424-00000.warc_78,http://1stshieldsecurity.co.uk/why-hiring-security-professionals-is-essential-for-a-successful-event/,1stshieldsecurity.co.uk,5375,安全,0,uk,其他
CC-MAIN-20240612140424-20240612170424-00000.warc_81,http://2012kiss.com/index.phtml?PUT=a_show&AID=164454&FID=1381879&R2=&CHANNEL=,2012kiss.com,782,安全,15,com,商业
CC-MAIN-20240612140424-20240612170424-00000.warc_84,http://2016.caaconference.org/author/admin/,2016.caaconference.org,1002,安全,0,org,组织
CC-MAIN-20240612140424-20240612170424-00000.warc_87,http://2021.alekino.com/aktualnosci/,2021.alekino.com,5430,安全,0,com,商业
CC-MAIN-20240612140424-20240612170424-00000.warc_90,http://2021.alekino.com/en/report/in-a-young-critics-opinion-14-summer-rebels/,2021.alekino.com,3860,安全,0,com,商业
